Date,Open,High,Low,Close,Adj Close,Volume
2009-02-11,91.750000,94.940002,90.419998,94.709999,83.726654,19554400
2009-02-12,92.650002,96.199997,91.470001,95.580002,84.495789,22915400
2009-02-13,95.000000,97.980003,94.500000,96.449997,85.264885,22975200
2009-02-17,92.260002,92.480003,84.790001,85.709999,75.770355,31078100
2009-02-18,87.690002,87.690002,81.070000,84.500000,74.700706,32610600
2009-02-19,86.410004,88.870003,85.529999,86.010002,76.035576,24476100
2009-02-20,81.949997,87.150002,79.269997,84.589996,75.188194,36146100
2009-02-23,86.510002,87.769997,79.790001,80.070000,71.170578,22298600
2009-02-24,81.529999,93.089996,81.510002,92.980003,82.645691,33115800
2009-02-25,91.550003,93.500000,87.300003,89.919998,79.925789,36249600
2009-02-26,92.300003,94.000000,90.019997,92.150002,81.907959,27516400
2009-02-27,88.629997,93.379997,87.500000,91.080002,80.956886,26041700
2009-03-02,87.860001,90.209999,85.559998,86.269997,76.681480,24074100
2009-03-03,88.330002,88.839996,80.290001,82.370003,73.214958,30943600
2009-03-04,84.900002,88.000000,81.500000,85.470001,75.970390,28050800
2009-03-05,82.879997,85.699997,79.349998,81.720001,72.637192,24826200
2009-03-06,82.330002,84.480003,73.250000,75.650002,67.241875,33484400
2009-03-09,73.769997,77.400002,72.779999,73.949997,65.730804,23648800
2009-03-10,77.680000,85.449997,77.099998,85.279999,75.801514,35004400
2009-03-11,86.889999,93.500000,85.580002,92.389999,82.121269,37989000
2009-03-12,92.029999,97.500000,90.180000,97.250000,86.441086,30814100
2009-03-13,97.790001,99.839996,95.639999,98.800003,87.818832,30959400
2009-03-16,100.330002,101.410004,93.190002,93.900002,83.463463,28240800
2009-03-17,92.639999,99.010002,92.550003,98.989998,87.987717,23327500
2009-03-18,97.580002,106.790001,96.699997,105.250000,93.551949,34372900
2009-03-19,104.650002,105.769997,99.260002,99.300003,88.263260,28577100
2009-03-20,99.510002,100.500000,95.099998,97.320000,86.503326,29137300
2009-03-23,102.500000,111.930000,101.300003,111.930000,99.489487,33581800
2009-03-24,110.589996,115.650002,109.339996,110.599998,98.307312,30914400
2009-03-25,111.129997,113.910004,106.129997,112.949997,100.396133,32805900
2009-03-26,112.000000,113.190002,109.449997,111.989998,99.542816,28844800
2009-03-27,109.610001,111.500000,107.820000,108.080002,96.067398,21569500
2009-03-30,104.110001,105.050003,100.459999,100.459999,89.294334,21354900
2009-03-31,102.809998,108.500000,102.480003,106.019997,94.236351,25927400
2009-04-01,104.099998,111.339996,103.940002,110.290001,98.031746,24883000
2009-04-02,115.209999,115.900002,112.500000,114.220001,101.524971,30053600
2009-04-03,112.800003,119.760002,112.550003,119.400002,106.129265,23687100
2009-04-06,116.000000,117.949997,114.050003,116.650002,103.684891,21098100
2009-04-07,114.000000,119.760002,113.570000,116.080002,103.178238,22183000
2009-04-08,117.370003,117.550003,112.500000,114.750000,101.996056,20406200
2009-04-09,119.790001,124.980003,117.449997,124.330002,110.511276,25610700
2009-04-13,122.809998,131.270004,122.500000,130.149994,115.684402,36460800
2009-04-14,123.760002,124.239998,115.099998,115.110001,102.316048,79935800
2009-04-15,116.720001,122.099998,113.570000,121.190002,107.720268,41345800
2009-04-16,123.089996,123.669998,119.580002,121.190002,107.720268,23574500
2009-04-17,120.839996,122.959999,118.959999,120.599998,107.195847,21841200
2009-04-20,116.970001,118.900002,115.000000,115.010002,102.227150,21609500
2009-04-21,113.760002,121.029999,113.379997,120.360001,106.982544,24772300
2009-04-22,118.610001,124.800003,117.839996,120.489998,107.098083,28219000
2009-04-23,121.639999,122.970001,118.209999,122.809998,109.160240,20133300
2009-04-24,123.250000,123.699997,120.250000,121.300003,107.818054,22407200
2009-04-27,119.339996,124.370003,119.339996,120.900002,107.462524,19129700
2009-04-28,120.169998,122.250000,119.800003,120.669998,107.258080,14907300
2009-04-29,122.019997,127.940002,121.599998,127.180000,113.044518,22999800
2009-04-30,128.520004,129.649994,125.180000,128.500000,114.217819,24834600
2009-05-01,127.900002,130.270004,126.160004,127.080002,112.955635,17536300
2009-05-04,127.510002,134.429993,126.160004,134.160004,119.248718,23434000
2009-05-05,132.899994,136.199997,132.550003,135.199997,120.173157,16811000
2009-05-06,136.800003,140.360001,136.050003,139.220001,123.746323,20439300
2009-05-07,140.979996,141.559998,131.809998,133.729996,118.866486,23188600
2009-05-08,134.889999,139.589996,133.149994,139.589996,124.075165,19152000
2009-05-11,136.850006,138.960007,134.830002,135.779999,120.688660,18391800
2009-05-12,137.029999,138.399994,132.210007,135.410004,120.359795,21101400
2009-05-13,133.199997,133.389999,128.059998,129.259995,114.893333,18621300
2009-05-14,129.119995,134.440002,128.940002,133.600006,118.750984,17411400
2009-05-15,134.020004,136.100006,132.199997,134.399994,119.462029,14754700
2009-05-18,137.199997,143.149994,136.779999,143.149994,127.239471,18622700
2009-05-19,142.589996,144.860001,141.149994,141.149994,125.461807,15324300
2009-05-20,142.309998,142.630005,136.020004,136.440002,121.275291,21426800
2009-05-21,134.050003,139.449997,133.919998,137.160004,122.228821,16135500
2009-05-22,137.779999,138.990005,136.050003,136.350006,121.507004,9058400
2009-05-26,134.610001,142.070007,134.610001,142.050003,126.586517,13768700
2009-05-27,142.220001,145.490005,140.009995,140.009995,124.768555,16696900
2009-05-28,141.649994,145.289993,139.289993,144.649994,128.903473,14803100
2009-05-29,145.809998,145.899994,141.279999,144.570007,128.832230,14130000
